POS,PLAYER,MATCHES,BALLS,RUNS,WKTS,4-FERS,5-FERS
1,Imran Tahir,17,386,431,26,2,-
2,Kagiso Rabada,12,282,368,25,2,-
3,Deepak Chahar,17,387,482,22,-,-
4,Shreyas Gopal,14,288,347,20,-,-
5,Jasprit Bumrah,16,370,409,19,-,-
6,K Khaleel Ahmed,9,209,287,19,-,-
7,Mohammed Shami,14,324,469,19,-,-
8,Yuzvendra Chahal,14,296,386,18,1,-
9,Rashid Khan,15,360,377,17,-,-
10,Harbhajan Singh,11,264,312,16,-,-
11,Lasith Malinga,12,269,438,16,2,-
12,Ravindra Jadeja,16,324,343,15,-,-
13,Ravichandran Ashwin,14,330,400,15,-,-
14,Hardik Pandya,16,255,390,14,-,-
15,Rahul Chahar,13,282,308,13,-,-
16,Ishant Sharma,13,276,349,13,-,-
17,Bhuvneshwar Kumar,15,354,461,13,-,-
18,Chris Morris,9,198,306,13,-,-
19,Krunal Pandya,16,276,335,12,-,-
20,Sandeep Sharma,11,256,352,12,-,-
21,Amit Mishra,11,240,270,11,-,-
22,Jofra Archer,11,258,291,11,-,-
23,Dwayne Bravo,12,247,330,11,-,-
24,Navdeep Saini,13,288,397,11,-,-
25,Andre Russell,14,181,287,11,-,-
26,Axar Patel,14,306,364,10,-,-
27,Sunil Narine,12,266,347,10,-,-
28,Piyush Chawla,13,267,399,10,-,-
29,Sam Curran,9,198,323,10,1,-
30,Jaydev Unadkat,11,224,398,10,-,-
